"","idx","object_id","filename","filename_prosome_mask","filename_lipid_mask","class","cruise","station","haul","date","width","height","is_valid","IoU","copepod_area_pixels","copepod_mass_annotated","copepod_area_pixels_pred","copepod_mass_pred","whole_image_area_pixels"
"1",0,"20130815 104200 655 000000 0053 0384","20130815 104200 655 000000 0053 0384.bmp","20130815_104200_655_000000_0053_0384-Prosome_mask.png","20130815_104200_655_000000_0053_0384.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",290,196,"False",0.751566356559711,10252,2.03119172297668,8199,1.49219326962175,56840
"2",1,"20130815 104202 761 000000 0103 0536","20130815 104202 761 000000 0103 0536.bmp","20130815_104202_761_000000_0103_0536-Prosome_mask.png","20130815_104202_761_000000_0103_0536.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",220,402,"False",0.698049001814882,12820,2.7651616709869,9635,1.8644486461568,88440
"3",2,"20130815 104207 359 000000 0147 0692","20130815 104207 359 000000 0147 0692.bmp","20130815_104207_359_000000_0147_0692-Prosome_mask.png","20130815_104207_359_000000_0147_0692.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",187,496,"False",0.861978427476582,13734,3.04084982727925,12505,2.67184065689277,92752
"4",3,"20130815 104208 999 000001 0219 0872","20130815 104208 999 000001 0219 0872.bmp","20130815_104208_999_000001_0219_0872-Prosome_mask.png","20130815_104208_999_000001_0219_0872.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",165,553,"False",0.861465985308208,11503,2.38097260694633,11810,2.46910700890406,91245
"5",4,"20130815 104217 755 000000 0919 0864","20130815 104217 755 000000 0919 0864.bmp","20130815_104217_755_000000_0919_0864-Prosome_mask.png","20130815_104217_755_000000_0919_0864.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",231,244,"False",0.772739541160594,3668,0.491753573807068,2900,0.355585702719794,56364
"6",5,"20130815 104217 955 000000 0219 0432","20130815 104217 955 000000 0219 0432.bmp","20130815_104217_955_000000_0219_0432-Prosome_mask.png","20130815_104217_955_000000_0219_0432.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",140,231,"False",0.853189691592733,4556,0.663255073614254,4217,0.596128688990057,32340
"7",6,"20130815 104221 920 000000 1023 0172","20130815 104221 920 000000 1023 0172.bmp","20130815_104221_920_000000_1023_0172-Prosome_mask.png","20130815_104221_920_000000_1023_0172.bmp-Lipid_mask.png","CglacVdorsex","ArcticNet2013","101",1,"8/15/2013",280,329,"False",0.766963292547275,3214,0.409787170509218,3140,0.39682403418413,92120
"8",7,"20130815 104222 120 000000 0307 0732","20130815 104222 120 000000 0307 0732.bmp","20130815_104222_120_000000_0307_0732-Prosome_mask.png","20130815_104222_120_000000_0307_0732.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",144,282,"False",0.853799758745476,3955,0.545628700875781,3729,0.503074776134736,40608
"9",8,"20130815 104222 187 000000 0979 0860","20130815 104222 187 000000 0979 0860.bmp","20130815_104222_187_000000_0979_0860-Prosome_mask.png","20130815_104222_187_000000_0979_0860.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",271,177,"False",0.847967887606623,5623,0.886729197533493,5426,0.844145214890696,47967
"10",9,"20130815 104222 999 000000 0703 0192","20130815 104222 999 000000 0703 0192.bmp","20130815_104222_999_000000_0703_0192-Prosome_mask.png","20130815_104222_999_000000_0703_0192.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",136,324,"False",0.874018436326391,5179,0.791579267197508,5799,0.925256923778028,44064
"11",10,"20130815 104223 853 000000 1067 0284","20130815 104223 853 000000 1067 0284.bmp","20130815_104223_853_000000_1067_0284-Prosome_mask.png","20130815_104223_853_000000_1067_0284.bmp-Lipid_mask.png","MlongFdors","ArcticNet2013","101",1,"8/15/2013",165,271,"False",0.77504816955684,1847,0.190791652372087,1838,0.189509878553806,44715
